                       config  l1i  l1d   l2  total_memory    cycles
UF_8-l1i_2kB-l1d_2kB-l2_128kB    2    2  128           132  59723273
UF_8-l1i_2kB-l1d_16kB-l2_128kB    2   16  128           146  42538803
UF_8-l1i_2kB-l1d_32kB-l2_128kB    2   32  128           162  42251285
UF_16-l1i_4kB-l1d_2kB-l2_128kB    4    2  128           134  59597064
UF_16-l1i_4kB-l1d_4kB-l2_128kB    4    4  128           136  59480977
UF_16-l1i_4kB-l1d_16kB-l2_128kB    4   16  128           148  42416295
UF_16-l1i_4kB-l1d_32kB-l2_128kB    4   32  128           164  42171250
UF_32-l1i_8kB-l1d_2kB-l2_128kB    8    2  128           138  59427815
UF_32-l1i_8kB-l1d_4kB-l2_128kB    8    4  128           140  59281553
UF_32-l1i_8kB-l1d_8kB-l2_128kB    8    8  128           144  59242097
UF_32-l1i_8kB-l1d_16kB-l2_128kB    8   16  128           152  42318997
UF_32-l1i_8kB-l1d_32kB-l2_128kB    8   32  128           168  41938699
UF_32-l1i_16kB-l1d_32kB-l2_128kB   16   32  128           176  41910634
UF_32-l1i_16kB-l1d_32kB-l2_256kB   16   32  256           304  41900630
UF_32-l1i_32kB-l1d_32kB-l2_128kB   32   32  128           192  41906936
UF_32-l1i_32kB-l1d_32kB-l2_256kB   32   32  256           320  41894698
UF_32-l1i_32kB-l1d_64kB-l2_256kB   32   64  256           352  41890054
UF_32-l1i_32kB-l1d_64kB-l2_512kB   32   64  512           608  41888334
UF_32-l1i_64kB-l1d_32kB-l2_128kB   64   32  128           224  41904073
UF_32-l1i_64kB-l1d_64kB-l2_512kB   64   64  512           640  41888203
