model,cycles
UF_2-l1i_2kB-l1d_2kB-l2_128kB,60073310
UF_2-l1i_2kB-l1d_2kB-l2_256kB,60057738
UF_2-l1i_2kB-l1d_2kB-l2_512kB,60037279
UF_2-l1i_2kB-l1d_2kB-l2_1024kB,60048504
UF_2-l1i_2kB-l1d_4kB-l2_128kB,59972990
UF_2-l1i_2kB-l1d_4kB-l2_256kB,59952019
UF_2-l1i_2kB-l1d_4kB-l2_512kB,59927803
UF_2-l1i_2kB-l1d_4kB-l2_1024kB,59912156
UF_2-l1i_2kB-l1d_8kB-l2_128kB,59873934
UF_2-l1i_2kB-l1d_8kB-l2_256kB,59864544
UF_2-l1i_2kB-l1d_8kB-l2_512kB,59835004
UF_2-l1i_2kB-l1d_8kB-l2_1024kB,59846852
UF_2-l1i_2kB-l1d_16kB-l2_128kB,42918730
UF_2-l1i_2kB-l1d_16kB-l2_256kB,42961281
UF_2-l1i_2kB-l1d_16kB-l2_512kB,42942715
UF_2-l1i_2kB-l1d_16kB-l2_1024kB,42955168
UF_2-l1i_2kB-l1d_32kB-l2_128kB,42604972
UF_2-l1i_2kB-l1d_32kB-l2_256kB,42590838
UF_2-l1i_2kB-l1d_32kB-l2_512kB,42573545
UF_2-l1i_2kB-l1d_32kB-l2_1024kB,42592601
UF_2-l1i_2kB-l1d_64kB-l2_128kB,42782116
UF_2-l1i_2kB-l1d_64kB-l2_256kB,42592744
UF_2-l1i_2kB-l1d_64kB-l2_512kB,42571282
UF_2-l1i_2kB-l1d_64kB-l2_1024kB,42590011
UF_2-l1i_4kB-l1d_2kB-l2_128kB,60041831
UF_2-l1i_4kB-l1d_2kB-l2_256kB,60009206
UF_2-l1i_4kB-l1d_2kB-l2_512kB,59999619
UF_2-l1i_4kB-l1d_2kB-l2_1024kB,59997998
UF_2-l1i_4kB-l1d_4kB-l2_128kB,59926174
UF_2-l1i_4kB-l1d_4kB-l2_256kB,59902780
UF_2-l1i_4kB-l1d_4kB-l2_512kB,59874632
UF_2-l1i_4kB-l1d_4kB-l2_1024kB,59865182
UF_2-l1i_4kB-l1d_8kB-l2_128kB,59825503
UF_2-l1i_4kB-l1d_8kB-l2_256kB,59812164
UF_2-l1i_4kB-l1d_8kB-l2_512kB,59782524
UF_2-l1i_4kB-l1d_8kB-l2_1024kB,59792179
UF_2-l1i_4kB-l1d_16kB-l2_128kB,42869329
UF_2-l1i_4kB-l1d_16kB-l2_256kB,42909363
UF_2-l1i_4kB-l1d_16kB-l2_512kB,42843421
UF_2-l1i_4kB-l1d_16kB-l2_1024kB,42909317
UF_2-l1i_4kB-l1d_32kB-l2_128kB,42559264
UF_2-l1i_4kB-l1d_32kB-l2_256kB,42539328
UF_2-l1i_4kB-l1d_32kB-l2_512kB,42525160
UF_2-l1i_4kB-l1d_32kB-l2_1024kB,42544019
UF_2-l1i_4kB-l1d_64kB-l2_128kB,42735155
UF_2-l1i_4kB-l1d_64kB-l2_256kB,42542195
UF_2-l1i_4kB-l1d_64kB-l2_512kB,42525154
UF_2-l1i_4kB-l1d_64kB-l2_1024kB,42540730
UF_2-l1i_8kB-l1d_2kB-l2_128kB,60026259
UF_2-l1i_8kB-l1d_2kB-l2_256kB,60002895
UF_2-l1i_8kB-l1d_2kB-l2_512kB,59985749
UF_2-l1i_8kB-l1d_2kB-l2_1024kB,59989337
UF_2-l1i_8kB-l1d_4kB-l2_128kB,59915788
UF_2-l1i_8kB-l1d_4kB-l2_256kB,59897177
UF_2-l1i_8kB-l1d_4kB-l2_512kB,59872327
UF_2-l1i_8kB-l1d_4kB-l2_1024kB,59857298
UF_2-l1i_8kB-l1d_8kB-l2_128kB,59819187
UF_2-l1i_8kB-l1d_8kB-l2_256kB,59802110
UF_2-l1i_8kB-l1d_8kB-l2_512kB,59782452
UF_2-l1i_8kB-l1d_8kB-l2_1024kB,59787052
UF_2-l1i_8kB-l1d_16kB-l2_128kB,42864049
UF_2-l1i_8kB-l1d_16kB-l2_256kB,42909193
UF_2-l1i_8kB-l1d_16kB-l2_512kB,42888990
UF_2-l1i_8kB-l1d_16kB-l2_1024kB,42901336
UF_2-l1i_8kB-l1d_32kB-l2_128kB,42548363
UF_2-l1i_8kB-l1d_32kB-l2_256kB,42531542
UF_2-l1i_8kB-l1d_32kB-l2_512kB,42521925
UF_2-l1i_8kB-l1d_32kB-l2_1024kB,42537827
UF_2-l1i_8kB-l1d_64kB-l2_128kB,42724506
UF_2-l1i_8kB-l1d_64kB-l2_256kB,42538000
UF_2-l1i_8kB-l1d_64kB-l2_512kB,42521289
UF_2-l1i_8kB-l1d_64kB-l2_1024kB,42533292
UF_2-l1i_16kB-l1d_2kB-l2_128kB,60004153
UF_2-l1i_16kB-l1d_2kB-l2_256kB,59987180
UF_2-l1i_16kB-l1d_2kB-l2_512kB,59970192
UF_2-l1i_16kB-l1d_2kB-l2_1024kB,59982354
UF_2-l1i_16kB-l1d_4kB-l2_128kB,59903343
UF_2-l1i_16kB-l1d_4kB-l2_256kB,59884626
UF_2-l1i_16kB-l1d_4kB-l2_512kB,59857209
UF_2-l1i_16kB-l1d_4kB-l2_1024kB,59841727
UF_2-l1i_16kB-l1d_8kB-l2_128kB,59811392
UF_2-l1i_16kB-l1d_8kB-l2_256kB,59791856
UF_2-l1i_16kB-l1d_8kB-l2_512kB,59764674
UF_2-l1i_16kB-l1d_8kB-l2_1024kB,59776284
UF_2-l1i_16kB-l1d_16kB-l2_128kB,42903451
UF_2-l1i_16kB-l1d_16kB-l2_256kB,42893525
UF_2-l1i_16kB-l1d_16kB-l2_512kB,42870241
UF_2-l1i_16kB-l1d_16kB-l2_1024kB,42846955
UF_2-l1i_16kB-l1d_32kB-l2_128kB,42539223
UF_2-l1i_16kB-l1d_32kB-l2_256kB,42523439
UF_2-l1i_16kB-l1d_32kB-l2_512kB,42504212
UF_2-l1i_16kB-l1d_32kB-l2_1024kB,42515984
UF_2-l1i_16kB-l1d_64kB-l2_128kB,42713061
UF_2-l1i_16kB-l1d_64kB-l2_256kB,42514920
UF_2-l1i_16kB-l1d_64kB-l2_512kB,42500292
