Software Results;Hardware Results
-0.999999;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-0.999784;-1.000000
-0.999329;-1.000000
-0.990726;-1.000000
-0.998166;-1.000000
-0.998286;-1.000000
-0.999154;-1.000000
-0.999999;-1.000000
-0.999997;-1.000000
-0.999990;-1.000000
-0.999993;-1.000000
-0.993142;-1.000000
-0.571639;-0.561523
0.987589;1.000000
0.858105;0.856445
0.013265;0.002930
-0.984212;-1.000000
-0.999991;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-0.999999;-1.000000
-0.999585;-1.000000
-1.000000;-1.000000
-0.999867;-1.000000
-0.998060;-1.000000
-0.999961;-1.000000
-0.999986;-1.000000
-0.999918;-1.000000
-0.999999;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-0.999975;-1.000000
-0.803249;-0.797852
0.993305;1.000000
0.980972;1.000000
0.250409;0.226562
-0.990391;-1.000000
-0.999998;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-0.999987;-1.000000
-0.999999;-1.000000
-0.999980;-1.000000
-0.999991;-1.000000
-0.999991;-1.000000
-0.999996;-1.000000
-0.999994;-1.000000
-0.998024;-1.000000
0.153894;0.166992
0.995824;1.000000
0.908664;0.906250
-0.887250;-0.887695
-0.999870;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
0.431739;0.433594
-0.999998;-1.000000
-0.999972;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999997;-1.000000
-0.999990;-1.000000
-0.999945;-1.000000
-0.999886;-1.000000
-0.999985;-1.000000
-0.999989;-1.000000
-0.998142;-1.000000
-0.613498;-0.598633
0.817150;0.819336
0.878297;0.878906
-0.961872;-0.962891
-0.999900;-1.000000
-0.999998;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-1.000000;-1.000000
-0.999995;-1.000000
-0.999998;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999982;-1.000000
-0.999931;-1.000000
-0.999995;-1.000000
-0.999986;-1.000000
-0.827417;-0.820312
0.178462;0.184570
0.556536;0.553711
-0.656501;-0.668945
-0.999959;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-1.000000;-1.000000
-0.999914;-1.000000
-0.999998;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999971;-1.000000
-0.965255;-1.000000
0.838500;0.844727
0.683010;0.676758
0.866107;0.860352
-0.978690;-1.000000
-0.999959;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-0.999551;-1.000000
0.929645;0.930664
0.987273;1.000000
0.605845;0.601562
-0.824211;-0.826172
-0.999991;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-0.999998;-1.000000
-0.999974;-1.000000
-0.999999;-1.000000
-1.000000;-1.000000
-0.999997;-1.000000
-0.999523;-1.000000
0.331458;0.340820
0.980266;1.000000
0.972754;1.000000
-0.870045;-0.869141
-0.999932;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
-1.000000;-1.000000
